ensembl_id,gene_symbol
ENSGALG00000001202,CCDC42
ENSGALG00000001203,TMEM45B
ENSGALG00000001204,ENKD1
ENSGALG00000001206,
ENSGALG00000001207,PLCH2
ENSGALG00000001208,
ENSGALG00000001209,
ENSGALG00000001211,
ENSGALG00000001212,
ENSGALG00000001213,MSL2
ENSGALG00000001214,PARD6A
ENSGALG00000001217,PCCB
ENSGALG00000001219,PIGU
ENSGALG00000001220,HERPUD1
ENSGALG00000001223,PEX10
ENSGALG00000001225,RABGAP1
ENSGALG00000001226,ABCA2
ENSGALG00000001227,PIK3R6
ENSGALG00000001229,SKI
ENSGALG00000001231,SAMHD1
ENSGALG00000001233,RHD
ENSGALG00000001234,CETP
ENSGALG00000001235,ANKRD24
ENSGALG00000001236,ZBTB26
ENSGALG00000001238,STX8
ENSGALG00000001239,SLC26A2
ENSGALG00000001240,SLC25A1
ENSGALG00000001242,
ENSGALG00000001244,
ENSGALG00000001245,SIRT6
ENSGALG00000001246,PPARGC1B
ENSGALG00000001250,APLP2
ENSGALG00000001252,CREB3L3
ENSGALG00000001253,RC3H2
ENSGALG00000001255,ARHGEF37
ENSGALG00000001256,NLRC5
ENSGALG00000001258,NUMA1
ENSGALG00000001261,WDR16
ENSGALG00000001262,CLIC4
ENSGALG00000001263,GTF2IRD1
ENSGALG00000001264,PLXNA2
ENSGALG00000001267,MAP2K2
ENSGALG00000001269,
ENSGALG00000001270,PRKCZ
ENSGALG00000001271,C17orf105
ENSGALG00000001273,C2CD4C
ENSGALG00000001275,PDCL
ENSGALG00000001276,HOXB9
ENSGALG00000001277,STAG1
ENSGALG00000001278,PRDM10
ENSGALG00000001279,ZNF652
ENSGALG00000001281,PHOSPHO1
ENSGALG00000001282,GABRD
ENSGALG00000001283,SRRM1
ENSGALG00000001285,SLC35G2
ENSGALG00000001287,ABI3
ENSGALG00000001288,KIAA1751
ENSGALG00000001289,SHC2
ENSGALG00000001291,CLIP2
ENSGALG00000001293,IGF2BP1
ENSGALG00000001295,SCLY
ENSGALG00000001298,RFC2
ENSGALG00000001299,GIP
ENSGALG00000001300,
ENSGALG00000001301,CLTCL1
ENSGALG00000001302,
ENSGALG00000001304,TMEM52
ENSGALG00000001305,LAT2
ENSGALG00000001306,NFRKB
ENSGALG00000001309,SNF8
ENSGALG00000001310,TRNAU1AP
ENSGALG00000001311,ARHGAP44
ENSGALG00000001312,SNAP29
ENSGALG00000001313,EIF4H
ENSGALG00000001314,PTGS1
ENSGALG00000001315,UBE2Z
ENSGALG00000001316,CPNE2
ENSGALG00000001317,
ENSGALG00000001318,CSK
ENSGALG00000001319,CAMK1G
ENSGALG00000001320,CYP1A1
ENSGALG00000001323,
ENSGALG00000001325,CYP1A4
ENSGALG00000001327,AIRE
ENSGALG00000001328,BSG
ENSGALG00000001329,EPB41
ENSGALG00000001330,
ENSGALG00000001331,ST14
ENSGALG00000001332,RBL1
ENSGALG00000001333,MRRF
ENSGALG00000001334,GNB1
ENSGALG00000001335,FAM18B1
ENSGALG00000001337,EDC3
ENSGALG00000001341,ZBTB44
ENSGALG00000001342,HCN2
ENSGALG00000001343,LAMB3
ENSGALG00000001345,
ENSGALG00000001346,
ENSGALG00000001347,LHX6
ENSGALG00000001348,TEKT3
ENSGALG00000001350,RSPRY1
ENSGALG00000001352,MORN5
ENSGALG00000001355,NDUFA8
ENSGALG00000001359,NADK
ENSGALG00000001362,CLK3
ENSGALG00000001363,MYBBP1A
ENSGALG00000001364,CSNK1A1
ENSGALG00000001366,CASP9
ENSGALG00000001369,
ENSGALG00000001370,ADAMTS8
ENSGALG00000001371,
ENSGALG00000001373,TRAF3IP3
ENSGALG00000001374,SLC35E2B
ENSGALG00000001375,COX10
ENSGALG00000001376,ARID3B
ENSGALG00000001377,POLRMT
ENSGALG00000001378,C1orf74
ENSGALG00000001381,ACTG1
ENSGALG00000001382,CDC2L1
ENSGALG00000001383,HTR4
ENSGALG00000001385,FGF22
ENSGALG00000001386,PI4KA
ENSGALG00000001387,SPNS2
ENSGALG00000001389,TTLL11
ENSGALG00000001391,PLLP
ENSGALG00000001392,MMP23B
ENSGALG00000001394,UBL7
ENSGALG00000001396,SERPIND1
ENSGALG00000001398,
ENSGALG00000001399,RNF126
ENSGALG00000001403,HIC2
ENSGALG00000001404,
ENSGALG00000001405,IRF6
ENSGALG00000001407,ADAMTS15
ENSGALG00000001409,IL12B
ENSGALG00000001410,SPNS3
ENSGALG00000001411,SRSF4
ENSGALG00000001412,SEMA7A
ENSGALG00000001414,MUC16
ENSGALG00000001415,UBE2L3
ENSGALG00000001416,ADRA1B
ENSGALG00000001417,CYP11A1
ENSGALG00000001418,GUCA1B
ENSGALG00000001419,DAB2IP
ENSGALG00000001420,RALGAPB
ENSGALG00000001422,RRP9
ENSGALG00000001424,YDJC
ENSGALG00000001425,SNX19
ENSGALG00000001426,MECR
ENSGALG00000001428,EFHD1
ENSGALG00000001429,TTC1
ENSGALG00000001431,GUCA1A
ENSGALG00000001433,B3GNTL1
ENSGALG00000001434,STOM
